"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/xuyiming/career-part-time/json-mapx/src/core/code-example.ts", "TypeScript", 0, 0, 1, 1
"/Users/xuyiming/career-part-time/json-mapx/src/core/code-index.ts", "TypeScript", 30, 0, 1, 31
"/Users/xuyiming/career-part-time/json-mapx/src/core/code-key-data.ts", "TypeScript", 23, 0, 2, 25
"/Users/xuyiming/career-part-time/json-mapx/src/core/code/shared.ts", "TypeScript", 28, 0, 3, 31
"/Users/xuyiming/career-part-time/json-mapx/src/core/context.ts", "TypeScript", 101, 1, 5, 107
"/Users/xuyiming/career-part-time/json-mapx/src/core/file.ts", "TypeScript", 20, 0, 3, 23
"/Users/xuyiming/career-part-time/json-mapx/src/demo/api/main.d.ts", "TypeScript", 2, 0, 0, 2
"/Users/xuyiming/career-part-time/json-mapx/src/demo/api/part.d.ts", "TypeScript", 7, 0, 1, 8
"/Users/xuyiming/career-part-time/json-mapx/src/demo/config/index.d.ts", "TypeScript", 2, 0, 0, 2
"/Users/xuyiming/career-part-time/json-mapx/src/demo/config/part.d.ts", "TypeScript", 7, 0, 1, 8
"/Users/xuyiming/career-part-time/json-mapx/src/demo/example/index.d.ts", "TypeScript", 2, 0, 0, 2
"/Users/xuyiming/career-part-time/json-mapx/src/demo/example/key-data.d.ts", "TypeScript", 7, 0, 1, 8
"/Users/xuyiming/career-part-time/json-mapx/src/demo/use/try.ts", "TypeScript", 3, 0, 6, 9
"/Users/xuyiming/career-part-time/json-mapx/src/index.ts", "TypeScript", 43, 1, 6, 50
"/Users/xuyiming/career-part-time/json-mapx/src/types.ts", "TypeScript", 23, 9, 4, 36
"Total", "-", 298, 11, 34, 343
